,Product_Name,Product_Brand,Rating,Old_Price,Current_Price
0,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
1,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
2,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
3,None,None,None,None,None
4,"MOTOROLA g54 5G (Pearl Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
5,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
6,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹18,490","₹12,490"
7,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
8,"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)",VIVO,4.4,"₹18,999","₹12,999"
9,"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)",VIVO,4.4,"₹18,999","₹12,999"
10,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
11,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
12,"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)",VIVO,4.4,"₹18,999","₹12,999"
13,None,None,None,None,None
14,"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)",VIVO,4.3,"₹20,999","₹14,999"
15,"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)",VIVO,4.3,"₹20,999","₹14,999"
16,"MOTOROLA Edge 40 Neo (Black Beauty, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
17,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
18,"vivo T2x 5G (Marine Blue, 128 GB)  (4 GB RAM)",VIVO,4.4,"₹17,999","₹11,999"
19,"vivo T2x 5G (Aurora Gold, 128 GB)  (4 GB RAM)",VIVO,4.4,"₹17,999","₹11,999"
20,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
21,None,None,None,None,None
22,"vivo T2x 5G (Glimmer Black, 128 GB)  (4 GB RAM)",VIVO,4.4,"₹17,999","₹11,999"
23,None,None,None,None,None
24,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
25,"MOTOROLA g14 (Sky Blue, 128 GB)  (4 GB RAM)",MOTOROLA,4.1,"₹12,999","₹8,499"
26,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
27,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
28,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹18,490","₹12,490"
29,"POCO C55 (Forest Green, 64 GB)  (4 GB RAM)",POCO,4.2,"₹11,999","₹6,499"
30,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
31,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
32,"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)",MOTOROLA,4.1,"₹10,999","₹6,499"
33,"Infinix SMART 8 HD (Timber Black, 64 GB)  (3 GB RAM)",INFINIX,4.4,"₹7,999","₹6,299"
34,"Infinix SMART 8 HD (Crystal Green, 64 GB)  (3 GB RAM)",INFINIX,4.4,"₹7,999","₹6,299"
35,None,None,None,None,None
36,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
37,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
38,"APPLE iPhone 14 (Blue, 256 GB)",APPLE,4.6,"₹79,900","₹68,999"
39,"POCO C51 (Power Black, 64 GB)  (4 GB RAM)",POCO,4,"₹9,999","₹5,999"
40,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
41,None,None,None,None,None
42,"realme C51 (Carbon Black, 64 GB)  (4 GB RAM)",REALME,4.3,"₹10,999","₹8,999"
43,"realme C51 (Mint Green, 64 GB)  (4 GB RAM)",REALME,4.3,"₹10,999","₹8,999"
44,"MOTOROLA Edge 40 Neo (Black Beauty, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
45,"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)",POCO,4.2,"₹13,999","₹7,499"
46,"MOTOROLA g54 5G (Mint Green, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹21,999","₹15,999"
47,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
48,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)  (8 GB RAM)",ONEPLUS,4.4,"₹21,999","₹21,406"
49,"Infinix HOT 30i (Diamond White, 64 GB)  (4 GB RAM)",INFINIX,4.2,"₹9,999","₹7,499"
50,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
51,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
52,"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)",INFINIX,4.2,"₹9,999","₹7,499"
53,None,None,None,None,None
54,"MOTOROLA g54 5G (Pearl Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹21,999","₹15,999"
55,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)  (4 GB RAM)",SAMSUNG,4.3,"₹14,999","₹8,199"
56,None,None,None,None,None
57,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
58,"Infinix HOT 30i (Mirror Black, 128 GB)  (8 GB RAM)",INFINIX,4.2,"₹11,999","₹8,299"
59,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)  (8 GB RAM)",REALME,4.3,"₹29,999","₹25,999"
60,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
61,None,None,None,None,None
62,"POCO X5 Pro 5G (Astral Black, 128 GB)  (6 GB RAM)",POCO,4.3,"₹25,999","₹17,999"
63,"REDMI 12 (Jade Black, 128 GB)  (6 GB RAM)",REDMI,4.2,"₹15,999","₹10,999"
64,"APPLE iPhone 14 Plus (Starlight, 128 GB)",APPLE,4.6,"₹79,900","₹66,999"
65,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)  (4 GB RAM)",SAMSUNG,4.3,"₹14,999","₹8,199"
66,"MOTOROLA Edge 40 Neo (Black Beauty, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
67,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
68,"APPLE iPhone 14 Plus (Blue, 128 GB)",APPLE,4.6,"₹79,900","₹67,999"
69,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)  (4 GB RAM)",SAMSUNG,4.2,"₹17,490","₹11,490"
70,"MOTOROLA g54 5G (Mint Green, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹21,999","₹15,999"
71,None,None,None,None,None
72,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)",SAMSUNG,4.2,"₹11,499","₹6,799"
73,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
74,"Google Pixel 7 (Obsidian, 128 GB)  (8 GB RAM)",GOOGLE,4.3,"₹59,999","₹39,999"
75,"REDMI 12 (Pastel Blue, 128 GB)  (6 GB RAM)",REDMI,4.2,"₹15,999","₹10,999"
76,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
77,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
78,"MOTOROLA Edge 40 Neo (Black Beauty, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
79,"REDMI 12 (Pastel Blue, 128 GB)  (4 GB RAM)",REDMI,4.3,"₹14,999","₹9,499"
80,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
81,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
82,"realme C55 (Rainforest, 64 GB)  (4 GB RAM)",REALME,4.4,"₹12,999","₹8,499"
83,"Infinix SMART 8 HD (Shiny Gold, 64 GB)  (3 GB RAM)",INFINIX,4.4,"₹7,999","₹6,299"
84,"Infinix SMART 8 HD (Crystal Green, 64 GB)  (3 GB RAM)",INFINIX,4.4,"₹7,999","₹6,299"
85,"Infinix SMART 8 HD (Timber Black, 64 GB)  (3 GB RAM)",INFINIX,4.4,"₹7,999","₹6,299"
86,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
87,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
88,"realme 11x 5G (Purple Dawn, 128 GB)  (6 GB RAM)",REALME,4.4,"₹16,999","₹14,999"
89,"realme C55 (Rainy Night, 128 GB)  (8 GB RAM)",REALME,4.3,"₹15,999","₹13,999"
90,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
91,"MOTOROLA g54 5G (Mint Green, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹21,999","₹15,999"
92,"realme C55 (Sunshower, 128 GB)  (8 GB RAM)",REALME,4.3,"₹15,999","₹13,999"
93,"realme C55 (Rainforest, 128 GB)  (8 GB RAM)",REALME,4.3,"₹15,999","₹13,999"
94,"realme C55 (Rainforest, 64 GB)  (6 GB RAM)",REALME,4.3,"₹13,999","₹11,999"
95,"realme C55 (Rainy Night, 64 GB)  (6 GB RAM)",REALME,4.3,"₹13,999","₹11,999"
96,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
97,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
98,"POCO C65 (Pastel Blue, 128 GB)  (6 GB RAM)",POCO,4,"₹11,999","₹9,499"
99,"POCO C55 (Forest Green, 128 GB)  (6 GB RAM)",POCO,4.2,"₹13,999","₹7,499"
100,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
101,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
102,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
103,"realme 11x 5G (Purple Dawn, 128 GB)  (6 GB RAM)",REALME,4.4,"₹16,999","₹14,999"
104,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Cyan)",NOKIA,4.1,"₹1,599","₹1,299"
105,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Charcoal)",NOKIA,4.1,"₹1,599","₹1,299"
106,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
107,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
108,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Terracotta Red)",NOKIA,4.1,"₹1,599","₹1,299"
109,"POCO C55 (Power Black, 128 GB)  (6 GB RAM)",POCO,4.2,"₹13,999","₹7,499"
110,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
111,"MOTOROLA g54 5G (Mint Green, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
112,"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹24,499","₹16,499"
113,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)  (8 GB RAM)",ONEPLUS,4.4,"₹21,999","₹21,668"
114,"SAMSUNG Galaxy F34 5G (Orchid Violet, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹24,499","₹16,499"
115,"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹24,499","₹16,499"
116,"MOTOROLA g54 5G (Mint Green, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹21,999","₹15,999"
117,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
118,"APPLE iPhone 14 Plus (Blue, 128 GB)",APPLE,4.6,"₹79,900","₹67,999"
119,"SAMSUNG Galaxy S22 5G (Phantom White, 128 GB)  (8 GB RAM)",SAMSUNG,4.4,"₹85,999","₹36,999"
120,"Infinix Note 30 5G (Sunset Gold, 128 GB)  (4 GB RAM)",INFINIX,4.2,"₹17,999","₹14,499"
121,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
122,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
123,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
124,None,None,None,None,None
125,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)  (8 GB RAM)",SAMSUNG,4.3,"₹74,999","₹31,499"
126,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
127,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
128,"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹18,990","₹13,114"
129,"Infinix HOT 30i (Marigold, 128 GB)  (8 GB RAM)",INFINIX,4.2,"₹11,999","₹8,299"
130,"REDMI A2 (Sea Green, 64 GB)  (2 GB RAM)",REDMI,4.1,"₹9,999","₹5,499"
131,"POCO C65 (Matte Black, 256 GB)  (8 GB RAM)",POCO,3.9,"₹13,499","₹10,999"
132,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
133,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
134,"Infinix SMART 7 (Azure Blue, 128 GB)  (4 GB RAM)",INFINIX,4.3,"₹10,999","₹7,299"
135,"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)",INFINIX,4.3,"₹9,999","₹6,999"
136,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
137,"MOTOROLA g54 5G (Mint Green, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
138,"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)",INFINIX,4.3,"₹9,999","₹6,999"
139,"Infinix SMART 7 (Night Black, 64 GB)  (4 GB RAM)",INFINIX,4.3,"₹9,999","₹6,999"
140,"POCO C65 (Pastel Blue, 128 GB)  (6 GB RAM)",POCO,4,"₹11,999","₹9,499"
141,"MOTOROLA g14 (Butter Cream, 128 GB)  (4 GB RAM)",MOTOROLA,4.1,"₹12,999","₹8,499"
142,"MOTOROLA g54 5G (Mint Green, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹21,999","₹15,999"
143,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
144,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Terracotta Red)",NOKIA,4.1,"₹1,599","₹1,299"
145,"SAMSUNG Galaxy F34 5G (Orchid Violet, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹24,499","₹16,499"
146,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
147,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
148,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Charcoal)",None,4.1,"₹1,599","₹1,294"
149,"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)  (6 GB RAM)",SAMSUNG,4.2,"₹24,499","₹16,499"
150,"REDMI Note 12 5G (Matte Black, 128 GB)  (4 GB RAM)",REDMI,3.9,"₹19,999","₹15,499"
151,"POCO C65 (Pastel Blue, 256 GB)  (8 GB RAM)",POCO,3.9,"₹13,499","₹10,999"
152,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
153,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
154,None,None,None,None,None
155,None,None,None,None,None
156,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
157,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
158,"OPPO A17 (Lake Blue, 64 GB)  (4 GB RAM)",OPPO,4.3,"₹14,999","₹9,999"
159,"REDMI 12 5G (Moonstone Silver, 128 GB)  (6 GB RAM)",REDMI,4.3,"₹17,999","₹13,779"
160,"REDMI 12 5G (Pastel Blue, 128 GB)  (6 GB RAM)",REDMI,4.3,"₹17,999","₹13,345"
161,"Infinix NOTE 12i (Metaverse Blue, 64 GB)  (4 GB RAM)",INFINIX,4.2,"₹12,999","₹8,499"
162,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
163,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
164,"REDMI Note 12 5G (Sunrise Gold, 128 GB)  (6 GB RAM)",REDMI,4.2,"₹21,999","₹16,999"
165,"APPLE iPhone 15 (Blue, 128 GB)",APPLE,4.6,"₹79,900","₹77,900"
166,"MOTOROLA g54 5G (Mint Green, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
167,None,None,None,None,None
168,None,None,None,None,None
169,"Infinix Note 30 5G (Magic Black, 256 GB)  (8 GB RAM)",INFINIX,4.2,"₹19,999","₹14,999"
170,None,None,None,None,None
171,None,None,None,None,None
172,"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
173,"MOTOROLA Edge 40 Neo (Caneel Bay, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
174,"realme 11 Pro 5G (Astral Black, 256 GB)  (12 GB RAM)",REALME,4.3,"₹30,999","₹27,999"
175,"realme 11 Pro+ 5G (Oasis Green, 256 GB)  (12 GB RAM)",REALME,4.3,"₹32,999","₹29,999"
176,"MOTOROLA g84 5G (Viva Magenta, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
177,"MOTOROLA Edge 40 Neo (Black Beauty, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
178,"Infinix NOTE 12i (Alpine White, 64 GB)  (4 GB RAM)",INFINIX,4.2,"₹12,999","₹8,499"
179,"REDMI 12 5G (Jade Black, 128 GB)  (6 GB RAM)",REDMI,4.3,"₹17,999","₹13,488"
180,"MOTOROLA g84 5G (Midnight Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
181,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)  (8 GB RAM)",SAMSUNG,4.3,"₹69,999","₹32,999"
182,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
183,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
184,itel Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB  (Blue),ITEL,3.9,"₹3,199","₹1,805"
185,"Infinix Note 30 5G (Magic Black, 128 GB)  (4 GB RAM)",INFINIX,4.2,"₹17,999","₹14,499"
186,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
187,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
188,"realme 11 5G (Glory Gold, 128 GB)  (8 GB RAM)",REALME,4.3,"₹20,999","₹16,999"
189,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)  (4 GB RAM)",SAMSUNG,4.3,"₹14,999","₹8,199"
190,None,None,None,None,None
191,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)  (8 GB RAM)",REDMI,5,"₹33,999","₹27,999"
